Recipe Name,Cuisine,Servings,Ingredients,Cooking Instructions,Notes,Diet Categories,Category,Total Prep/Cook Time,Attachments,Rating (Julianna),Rating (Taqqui)
Eggplant Lasagna,Italian,8,"8 oz mozzarella,6 cups tomato sauce,16 oz lasagna noodles,2 tbsp salt,2  eggplant(s)","Prep:
Slice eggplant. Get out baking sheets and a large pot for steaming the spinach / boiling the lasagna noodles.

Directions:
Slice eggplant and lay out on baking sheets. Sprinkle COARSE salt over eggplant, using about 1/2 tbsp per sheet. Let it sit for 30 mins to allow it to release the bitter juices. Flip slices and repeat salting on other side.

Meanwhile, steam spinach and measure out 2 cups cooked spinach.

Thoroughly rinse the eggplant slices. Preheat the oven to 400 at this point. Then, layout the eggplant slices on baking sheets and generously coat with olive oil. Bake at 400 for 10 min per side.

Rinse the pot from the spinach and boil 16 oz lasagna noodles. Slice 8 oz mozzarella.

To assemble, coat bottom of pan with sauce and then lasagna noodles. Then layer sauce, eggplant, spinach, mozzarella, noodle. The last layer should be a noodle, then some sauce. Sprinkle top with parmesan if desired before baking for 40 min at 350.",,"Vegetarian,Halal",Entree,,lasagna.png (https://dl.airtable.com/.attachments/d10cb09c58a3996e6b80e1ef8c272315/9d84e3f0/lasagna.png),,
Eggplant Parmesan,Italian,,"8 oz mozzarella,4 cups tomato sauce,2  eggplant(s)","Prep:
Slice eggplant and lay out on baking sheets. Sprinkle COARSE salt over eggplant, using about 1/2 tbsp per sheet. Let it sit for 30 mins to allow it to release the bitter juices. Flip slices and repeat salting on other side.

Directions:
Thoroughly rinse the eggplant slices. Preheat the oven to 400 at this point. Then, layout the eggplant slices on baking sheets and generously coat with olive oil. Bake at 400 for 10 min per side.

Meanwhile, slice 8 oz mozzarella. Once eggplant is done, adjust oven heat to 350.

To assemble, coat bottom of pan with sauce and then layer eggplant and mozzarella. The last layer should be sauce and then mozzarella. Bake for 40 min at 350.",,"Vegetarian,Halal",Entree,,,,
Eggplant Risotto,Italian,4,"  salt to taste,0.5 cup basil (fresh),2 tbsp parmigiano reggiano,4 oz ricotta salata,1 tbsp butter (unsalted),1 cup arborio rice,4.25 cups vegetable stock,1 lb tomato(es),1  onion(s),3 cloves garlic,1  eggplant(s),4 tbsp olive oil","Prep:
Chop the eggplant and toss with coarse salt in a colander. Let it sit for 30 minutes and then rinse it off thoroughly and squeeze out excess juice.

Meanwhile, dice 1 lb. tomatoes, julienne 0.5 cup fresh basil, and peel 3 cloves garlic.

Directions:
In a large skillet, heat 3 tbsp of olive oil. Sauté the eggplant over high heat, stirring occasionally until it’s brown and very soft (~15 minutes). 

Meanwhile, finely dice the onion. Once the eggplant is ready, crush the garlic into it and sauté 1 minute longer. Set aside when finished.

In a very large saucepan, heat 1 tbsp olive oil and sauté the onion over medium high heat until it is soft and golden (~8 minutes). Add all but ¼ cup of tomatoes to the onions and cook for 3 minutes.

Meanwhile, in a separate saucepan, bring the vegetable stock to a simmer. Then stir 1 cup arborio rice into the onion and tomato mixture. One cup at a time, stir in the vegetable stock until the rice has absorbed it. The risotto is done when the rice is al dente and suspended in a creamy liquid (~25 minutes). 

Meanwhile, crumble 4 oz ricotta salata.

Remove the risotto from the heat. Stir in the butter until melted, and then stir in the ricotta salata and 2 tbsp parmesan. Stir in the eggplant, basil, and the remaining tomatoes. Season the risotto with salt and black pepper to taste.",1 oz. fresh basil = 1/2 cup fresh basil,"Vegetarian,Halal",Entree,3 hours,eggplant_risotto.png (https://dl.airtable.com/.attachments/b09175af982601cee250f6ff9eb9f8f9/56815885/eggplant_risotto.png),8.5,
Elote,Mexican/Latin,6,,"6 ears of corn
cayenne/chili powder
crema
cotija
lime

Prep:
Preheat the grill to medium-high heat. Husk the corn.

Meanwhile, mix some chili powder and cayenne in a small bowl. Then, crumble some cotija in another small bowl.

Directions:
Place the corn on the grill and cook for 4 minutes. Turn and repeat until all sides of the corn are charred.

Immediately, brush the corn with crema. Sprinkle with pepper and crumbled cotija. If desired, squeeze some lime juice over the corn.


",,"Halal,Vegetarian","Side,Appetizer",30 minutes,,,
Fagioli al Fiasco (Original),Italian,,,"1 pound (450g) dry cannellini (or other) beans
3 garlic cloves, unpeeled
6 sage leaves (or other sturdy herbs)
5 tablespoons extra-virgin olive oil
Salt

Soak the beans in plenty of cold water for 10 hours. Drain and rinse the beans, then return to a large ovenproof pot or casserole with a lid. Cover with cold water, making sure the water comes a good couple of fingers above the beans (1 to 2 inches, depending on how brothy you like your beans).
Heat the oven to 335°F. On the stovetop, over a medium-low heat, bring the beans slowly to just-before-the-boil (they mustn’t boil), skimming away any surface foam if you like, then add the whole, unpeeled cloves of garlic, sage, a good pinch of salt, and olive oil. Cover the pan with the lid and transfer to the oven for 1 hour and 15 minutes, or until the beans are tender and surrounded by just a little cloudy broth. Check the seasoning and squeeze the garlic from the skin and stir it into the broth if you wish. Serve alone with more olive oil on top, with sausages, or as part of a soup.","Source: https://food52.com/recipes/83245-rich-creamy-beans-recipe


""FAGIOLI AL FIASCO (BEANS IN A FLASK)
Tuscans are often known as the ""bean eaters"" by other Italians. This is the traditional method used by Tuscan farmers in old days to cook their beans, by which they would place a glass jar in a corner of the fireplace on hot ashy embers before going to bed and would have freshly cooked beans in the morning.""","Paleo,Vegetarian,Vegan,Halal",Side,,,,
Fagioli al Fiasco (Variation),Italian,,,,"Source: https://evergreenkitchen.ca/recipe/brothy-oven-baked-beans

""FAGIOLI AL FIASCO (BEANS IN A FLASK)
Tuscans are often known as the ""bean eaters"" by other Italians. This is the traditional method used by Tuscan farmers in old days to cook their beans, by which they would place a glass jar in a corner of the fireplace on hot ashy embers before going to bed and would have freshly cooked beans in the morning.""","Paleo,Vegetarian,Vegan,Halal",Side,,,,
Falafel,Mediterranean,,,,,,,,,,
French Onion Soup,French,8,"8 oz gruyère,3 oz sherry,0.25 tsp black pepper,8 cups beef bouillon broth,5  onion(s),3 tbsp butter (unsalted)","Prep:
Shred the gruyere. Slice 4 onions.

Make 8 cups beef broth in 8 tsp beef bouillon.

Directions:
Melt the butter in a large soup pot. Saute the onions until soft. Add broth, 1/4 tsp black pepper, and 3 oz sherry. Cover and simmer for 30 min.

To serve, place a slice of bread topped with some of the shredded gruyere on an individual bowl of soup. Melt in the microwave.

OR 

If you have ovenproof bowls, bake the bowls of soup on a baking sheet in the middle of the oven for 10 minutes, or until the cheese is bubbling.",https://www.foodandwine.com/recipes/french-onion-soup,,Soup,1 hour,,8.0,
Fuska,Indian/Bangali,,,"Source: p. 69 of ""My Bangladesh Kitchen"" by Saira Hamilton",,Halal,,,,,
Galette des Rois (NYT Cooking),French,,,"INGREDIENTS
FOR THE FILLING:
6 tablespoons (85 grams) unsalted butter, at room temperature
¾ cup (85 grams) confectioners’ sugar
¾ cup (85 grams) almond flour
¼ teaspoon salt
2 large eggs, at room temperature
1 tablespoon rum (optional)
1 teaspoon pure vanilla extract
TO ASSEMBLE:
2 9 1/2-inch-diameter circles puff-pastry dough (from a 14- to 17-ounce package; 396-482 grams), cold
1 whole almond or dried bean, for the charm

PREPARATION
TO MAKE THE FILLING:
Working with a mixer or by hand, beat the butter and sugar together until creamy and light. Beat in the almond flour and the salt. Mix in 1 whole egg, then the white from the second egg (reserve the yolk). Mix in the rum, if using, and the extract. Cover, and refrigerate for at least 1 hour.
Mix the yolk with 1 teaspoon cold water; cover, and refrigerate until needed.
TO ASSEMBLE:
Place one circle of dough on a baking sheet lined with parchment paper. Spread the filling evenly over the dough, leaving a 1-inch border bare. Press the charm into the filling. Moisten the border with cold water, position the second circle of dough over the filling and press around the border with your fingertips to seal well. Using the back of a table knife, scallop the edges by pushing into the dough (about 1/4- to 1/2-inch deep) every 1/2 inch or so. Refrigerate for at least 30 minutes.
Heat the oven to 425. Brush a thin layer of the reserved yolk glaze over the top of the galette, avoiding the border (if glaze drips down the rim, the galette won’t rise). With the point of a paring knife, etch a design into the top of the galette, taking care not to pierce the dough. Cut 6 small slits in the top as steam vents.
Turn the heat down to 400, and bake for 30 to 40 minutes, until the galette is puffed and deeply golden. Check after 20 minutes, and tent loosely with foil if it’s browning too much or too fast. Transfer to a rack, and cool for at least 15 minutes (the galette may deflate — that’s puff pastry for you). Serve warm or at room temperature.",NYT Cooking: https://cooking.nytimes.com/recipes/1019114-galette-des-rois,,,,24mag-24ondessert-t_CA0-articleLarge.jpg (https://dl.airtable.com/.attachments/51b7c9edc98307e68df423857aad1898/ebe7fd6d/24mag-24ondessert-t_CA0-articleLarge.jpg),,
General Tso's Cauliflower,Asian,,,,https://go.skimresources.com/?id=74968X1525089&xs=1&isjs=1&url=http%3A%2F%2Fthewoksoflife.com%2F2015%2F10%2Fgeneral-tsos-cauliflower%2F&xguid=8010322f804cb5a0133cb4fd356ca767&xuuid=18fc679cf8f9d29e4ff11706d11bb93d&xsessid=&xcreo=0&xed=0&sref=https%3A%2F%2Fwww.womansday.com%2Ffood-recipes%2Ffood-drinks%2Fg2373%2Fvegetarian-recipes%2F&pref=https%3A%2F%2Fwww.google.com%2F&xtz=300&abp=1&jv=13.12.1-stackpath&bv=2.5.1,,,,,,
Gianduja Cheesecake,Italian,12,,"Cookie Crust
30 chocolate sandwich cookies (Oreos are good)
1 cup hazelnuts
3 tbsp sugar
6 tbsp butter, melted

Cheesecake
10 ounces 72% dark chocolate, chopped
24 ounces cream cheese
3/4 cup FAGE Total Greek Yogurt 2%
3 large eggs
1 large egg yolk
1 1/4 cups sugar
1/4 cup Dutch cocoa powder

Chocolate Hazelnut Ganache:
4 ounces (1/2 cup) Nutella
4 ounces (1/2 cup) heavy cream
2 ounces 72% dark chocolate, chopped
1/4 cup toasted hazelnuts, chopped

* Requires overnight preparation

Prep:
Cover the outside bottom and sides of a 9 x 2 1/2-inch spring-form pan with a double thickness of aluminum foil.  Grease the pan with butter or cooking spray. Line the bottom with a round of waxed paper; grease the waxed paper. Take out a second pan large enough to fit the first one in.

Preheat the oven to 350F for pre-baking the crust. Take out the 24 oz. cream cheese to soften.

Directions:
CRUST
Place ~30 Nabisco chocolate wafers and 1 cup blanched hazelnuts in the food processor and pulse until finely ground. Mix in 3 tbsp sugar. Then, add 6 tbsp MELTED butter and pulse until the mixture forms coarse crumbs, resembling wet sand.

Scrape into prepared pan and use fingers to press into the bottom and up the side of the pan, making sure the crust is even. Bake in oven for 8 minutes. Place on wire rack to cool. Keep oven temperature.

CHEESECAKE FILLING
Prepare cheesecake filling by placing 10 oz. of chopped chocolate in a double boiler until smooth and creamy. Remove from heat and let cool for a few minutes.

Set a pot of water to boil on the stove while the filling is made. 

In an electric or stand mixer, beat 24 oz. cream cheese and 3/4 cup plain 2% greek yogurt until smooth and fluffy. Add in 1 1/4 cups sugar and 1/4 cup Dutch cocoa powder and beat again until smooth. Then add in 3 eggs and 1 egg yolk, blending until there is a silky consistency. Fold in melted chocolate until thoroughly combined.

Pour chocolate cheesecake filling over the cooled crust and smooth the top with a spatula. Tap a few times to release any air in the batter. Place the spring-form pan in the larger pan, and put them in the oven. Carefully fill the larger pan with boiling water from the teapot, until it reaches about halfway up the sides of the spring-form pan. 

Bake for 55-60 minutes, or until the center no longer jiggles. Cool the cheesecake 10 minutes, then run a knife around the crust to loosen it. Chill the cheesecake a minimum of 4 hours in fridge, although overnight is best.

GANACHE
In a medium saucepan, heat 1/2 cup heavy cream over low heat to avoid curdling. Add 1/2 cup of Nutella and stir until smooth. Add in 2 ounces of chopped dark chocolate and stir until melted. Pour or drizzle over the center of the chocolate cheesecake and spread to outer edges to help cover any cracks. If desired, top with toasted hazelnuts.

Serve while ganache is warm or place in refrigerator to cool. Cut into 12-16 slices and enjoy!


",,"Vegetarian,Halal",Dessert,,"Gianduja Cheesecake - 3.jpg (https://dl.airtable.com/.attachments/ea00bed891741e932a67b5cc0657ba93/fae1951b/GiandujaCheesecake-3.jpg),Gianduja Cheesecake - 1.jpg (https://dl.airtable.com/.attachments/902961aa114b68306ab8e1b4af76a27d/80703779/GiandujaCheesecake-1.jpg),Gianduja Cheesecake - 5.jpg (https://dl.airtable.com/.attachments/2b37259124c8c08f65c158cdbfa27555/7bd5ca4a/GiandujaCheesecake-5.jpg)",,
Ginger Curry Chicken,Indian/Bangali,,,"1 cup long-grain rice
2 small onions, finely chopped, separated
2 large garlic cloves, finely chopped
2 tbsp ghee
1 small cinnamon stick
1 tsp mustard seeds
1 teaspoon turmeric
1/4 teaspoon salt

3 1/2 cups chicken stock, SEPARATED
2 tablespoons vegetable oil
4 large skinless boneless chicken breast halves, cubed
2 large garlic cloves, finely chopped
1 tablespoon ginger
2 tablespoons curry powder
salt and pepper, to taste
1/4 cup plain yogurt, plus more for serving***

1/8 cup cornstarch, if needed
1/2 cup water, if needed


Prep:
Soak 1 cup basmati rice.

Mince 2 small onions and peel large cloves of garlic and set aside. 

Measure and separate the chicken broth into 2.5 cups and 1 cup.

Directions:
Melt 2 tbsp ghee in a medium saucepan. Add half the chopped onion and cook until soft.  Add 1 tsp turmeric, 1/4 salt, and 1 small cinnamon stick. Cook, stirring, for 1 minute. 

Mix in the basmati rice. Cook over low heat for a few minutes, until the rice grains begin to look translucent. Then, stir in the 2.5 cups chicken stock. Cover and simmer until all the liquid is absorbed (~20 min).

Meanwhile, cube the chicken and heat some oil in a deep skillet.  Cook the chicken over high heat until golden on all sides.  Remove to a bowl.  

Add the remaining onion and cook until just beginning to brown around the edges. Crush in the 2 cloves of garlic, and mix in 1 tbsp ground ginger, and 2 tbsp curry powder. Season with the salt and pepper and cook 1 minute. 

Add back the cooked chicken and the remaining 1 cup chicken stock. Cover and simmer for 20 minutes, or until the chicken is tender. 

Finally, stir in the yogurt, and gently cook over low heat until warmed through.

If the sauce is not thick enough, dissolve the cornstarch in the water.  Bring the chicken mixture to a slow boil.  Immediately pour in the cornstarch mixture and stir until thickened.  Remove from the heat.

To serve, put down a bed of the rice.  Top with the curry and an extra dollop of yogurt, if desired.",https://docs.google.com/document/d/19JP064U2Jl26qW_8AC7CIbYxxXvT_MEN/edit#,Halal,Entree,,,,
